Found 9995 total meshes to process
[1/9995] [1 success|0 fail] [SUCCESS] model_1037024.obj (took 0.03s | total elapsed: 0.15s)
[2/9995] [2 success|0 fail] [SUCCESS] model_1036394.obj (took 0.01s | total elapsed: 0.15s)
[3/9995] [3 success|0 fail] [SUCCESS] model_100678.obj (took 0.01s | total elapsed: 0.15s)
[4/9995] [4 success|0 fail] [SUCCESS] model_101864.obj (took 0.07s | total elapsed: 0.15s)
[5/9995] [5 success|0 fail] [SUCCESS] model_101865.obj (took 0.05s | total elapsed: 0.15s)
[6/9995] [6 success|0 fail] [SUCCESS] model_1037023.obj (took 0.01s | total elapsed: 0.15s)
[7/9995] [7 success|0 fail] [SUCCESS] model_1012236.obj (took 0.05s | total elapsed: 0.16s)
[8/9995] [8 success|0 fail] [SUCCESS] model_1005291.obj (took 0.01s | total elapsed: 0.16s)
[9/9995] [9 success|0 fail] [SUCCESS] model_103141.obj (took 0.03s | total elapsed: 0.16s)
[10/9995] [10 success|0 fail] [SUCCESS] model_101250.obj (took 0.06s | total elapsed: 0.17s)
[11/9995] [11 success|0 fail] [SUCCESS] model_1005270.obj (took 0.01s | total elapsed: 0.17s)
[12/9995] [12 success|0 fail] [SUCCESS] model_1020669.obj (took 0.03s | total elapsed: 0.17s)
[13/9995] [13 success|0 fail] [SUCCESS] model_1036392.obj (took 0.02s | total elapsed: 0.17s)
[14/9995] [14 success|0 fail] [SUCCESS] model_103285.obj (took 0.05s | total elapsed: 0.17s)
[15/9995] [15 success|0 fail] [SUCCESS] model_101338.obj (took 0.03s | total elapsed: 0.17s)
[16/9995] [16 success|0 fail] [SUCCESS] model_100894.obj (took 0.01s | total elapsed: 0.17s)
[17/9995] [17 success|0 fail] [SUCCESS] model_1004825.obj (took 0.01s | total elapsed: 0.17s)
[18/9995] [18 success|0 fail] [SUCCESS] model_100070.obj (took 0.00s | total elapsed: 0.17s)
[19/9995] [19 success|0 fail] [SUCCESS] model_1005281.obj (took 0.01s | total elapsed: 0.17s)
[20/9995] [20 success|0 fail] [SUCCESS] model_1015841.obj (took 0.05s | total elapsed: 0.17s)
[21/9995] [21 success|0 fail] [SUCCESS] model_1037021.obj (took 0.01s | total elapsed: 0.17s)
[22/9995] [22 success|0 fail] [SUCCESS] model_1004826.obj (took 0.01s | total elapsed: 0.17s)
[23/9995] [23 success|0 fail] [SUCCESS] model_100322.obj (took 0.01s | total elapsed: 0.17s)
[24/9995] [24 success|0 fail] [SUCCESS] model_1036320.obj (took 0.04s | total elapsed: 0.17s)
[25/9995] [25 success|0 fail] [SUCCESS] model_100646.obj (took 0.01s | total elapsed: 0.17s)
[26/9995] [26 success|0 fail] [SUCCESS] model_1005282.obj (took 0.01s | total elapsed: 0.17s)
[27/9995] [27 success|0 fail] [SUCCESS] model_100075.obj (took 0.00s | total elapsed: 0.17s)
[28/9995] [28 success|0 fail] [SUCCESS] model_100887.obj (took 0.05s | total elapsed: 0.17s)
[29/9995] [29 success|0 fail] [SUCCESS] model_100281.obj (took 0.01s | total elapsed: 0.17s)
[30/9995] [30 success|0 fail] [SUCCESS] model_1016874.obj (took 0.06s | total elapsed: 0.17s)
[31/9995] [31 success|0 fail] [SUCCESS] model_101582.obj (took 0.03s | total elapsed: 0.17s)
